Epoch,Train_Loss,Val_Score
1,1.1714,0.0000
2,1.0306,0.0000
3,0.9020,0.0000
4,0.8004,0.1653
5,0.7167,0.1634
6,0.6468,0.1614
7,0.6059,0.1667
8,0.5621,0.1287
9,0.5272,0.0001
10,0.4903,0.0000
11,0.4595,0.0000
12,0.4439,0.0000
13,0.4033,0.0000
14,0.3963,0.0000
15,0.3884,0.0004
16,0.3916,0.0010
17,0.3857,0.0027
18,0.3826,0.0058
19,0.3743,0.0107
20,0.3750,0.0156
21,0.3691,0.0200
22,0.3648,0.0313
23,0.3695,0.0412
24,0.3796,0.0550
25,0.3723,0.0675
26,0.3838,0.0767
27,0.3693,0.0945
28,0.3695,0.1224
29,0.3750,0.1306
30,0.3724,0.1377
31,0.3708,0.1405
32,0.3745,0.1443
33,0.3742,0.1407
34,0.3696,0.1452
35,0.3682,0.1459
36,0.3659,0.1662
37,0.3784,0.1760
38,0.3725,0.1673
39,0.3752,0.1762
40,0.3753,0.1698
41,0.3713,0.1669
42,0.3677,0.1657
43,0.3707,0.1598
44,0.3683,0.1594
45,0.3711,0.1586
46,0.3726,0.1623
47,0.3711,0.1610
48,0.3666,0.1674
49,0.3707,0.1635
50,0.3705,0.1638
51,0.3710,0.1638
52,0.3703,0.1581
53,0.3729,0.1727
54,0.3719,0.1742
55,0.3717,0.1837
56,0.3613,0.2031
57,0.3683,0.1952
58,0.3668,0.1851
59,0.3702,0.1967
60,0.3718,0.1880
61,0.3728,0.1820
62,0.3736,0.1790
63,0.3669,0.1753
64,0.3661,0.1906
65,0.3703,0.1993
66,0.3647,0.2052
67,0.3715,0.2024
68,0.3669,0.1968
69,0.3706,0.1925
70,0.3713,0.1927
71,0.3769,0.1932
72,0.3674,0.1890
73,0.3693,0.1889
74,0.3740,0.2003
75,0.3638,0.1939
76,0.3701,0.1946
77,0.3645,0.1915
78,0.3717,0.1914
79,0.3702,0.1943
80,0.3707,0.1953
81,0.3668,0.1917
82,0.3648,0.1897
83,0.3668,0.2040
84,0.3630,0.2079
85,0.3665,0.2142
86,0.3664,0.2074
87,0.3685,0.2250
88,0.3599,0.2153
89,0.3659,0.2189
90,0.3773,0.2171
91,0.3620,0.2207
92,0.3666,0.2140
93,0.3606,0.2107
94,0.3618,0.2141
95,0.3627,0.2075
96,0.3670,0.2093
97,0.3711,0.2089
98,0.3614,0.2319
99,0.3639,0.2257
100,0.3709,0.2338
101,0.3660,0.2290
102,0.3652,0.2246
103,0.3703,0.2359
104,0.3742,0.2295
105,0.3597,0.2239
106,0.3616,0.2233
107,0.3631,0.2226
108,0.3607,0.2255
109,0.3644,0.2379
110,0.3628,0.2394
111,0.3626,0.2334
112,0.3612,0.2373
113,0.3626,0.2381
114,0.3558,0.2337
115,0.3591,0.2327
116,0.3580,0.2453
117,0.3612,0.2471
118,0.3605,0.2429
119,0.3548,0.2439
120,0.3628,0.2485
121,0.3657,0.2456
122,0.3571,0.2559
123,0.3536,0.2529
124,0.3611,0.2534
125,0.3610,0.2573
126,0.3608,0.2672
127,0.3522,0.2614
128,0.3602,0.2531
129,0.3588,0.2747
130,0.3669,0.2679
131,0.3630,0.2659
132,0.3662,0.2606
133,0.3549,0.2578
134,0.3579,0.2639
135,0.3583,0.2808
136,0.3606,0.2745
137,0.3626,0.2658
138,0.3601,0.2702
139,0.3585,0.2714
140,0.3543,0.2858
141,0.3513,0.2799
142,0.3542,0.2806
143,0.3561,0.2816
144,0.3545,0.2813
145,0.3617,0.2820
146,0.3555,0.2795
147,0.3573,0.2920
148,0.3586,0.3008
149,0.3530,0.3102
150,0.3548,0.3000
151,0.3529,0.3030
152,0.3490,0.2959
153,0.3549,0.2952
154,0.3552,0.2947
155,0.3577,0.3115
156,0.3521,0.3087
157,0.3618,0.3069
158,0.3540,0.3038
159,0.3559,0.3001
160,0.3520,0.3184
161,0.3564,0.3328
162,0.3575,0.3228
163,0.3579,0.3194
164,0.3537,0.3145
165,0.3490,0.3173
166,0.3507,0.3190
167,0.3583,0.3181
168,0.3504,0.3163
169,0.3516,0.3279
170,0.3591,0.3365
171,0.3563,0.3457
172,0.3617,0.3382
173,0.3631,0.3310
174,0.3479,0.3479
175,0.3576,0.3420
176,0.3542,0.3389
177,0.3513,0.3459
178,0.3437,0.3458
179,0.3523,0.3437
180,0.3465,0.3359
181,0.3465,0.3453
182,0.3478,0.3553
183,0.3500,0.3698
184,0.3457,0.3762
185,0.3553,0.3703
186,0.3461,0.3619
187,0.3554,0.3576
188,0.3512,0.3547
189,0.3425,0.3537
190,0.3443,0.3492
191,0.3510,0.3525
192,0.3483,0.3681
193,0.3541,0.3629
194,0.3467,0.3617
195,0.3564,0.3634
196,0.3444,0.3618
197,0.3467,0.3547
198,0.3468,0.3549
199,0.3452,0.3534
200,0.3469,0.3596
